"TrenCart Customer API — Reference for App Developer"
"Base URL (production): https://trencart.com/api/"
"Base URL (local test): http://localhost/trencart_new/api/"
"All responses are JSON with the envelope: {""success"": true|false, ""message"": ""..."", ""data"": ... }"
"Auth: after login/registration you receive a ""token"". Send it on every authenticated request as header:  Authorization: Bearer <token>"
"A request with a missing/invalid/expired token on a login-required endpoint returns HTTP 401 with {""success"":false,""message"":""...""}"
"All endpoints below are relative to the Base URL, e.g. ""customer/products.php"" = https://trencart.com/api/customer/products.php"

Module,Endpoint,Method,"Auth Required","Request Headers","Input Parameters","Sample Success Response","Sample Error Response",Notes
Auth,register.php,POST,None,"Content-Type: application/json","{""email"":""user@example.com"",""full_name"":""John Doe"",""phone"":""9876543210"",""user_type"":""customer""}","{""success"":true,""message"":""OTP sent successfully to your email"",""data"":{""email"":""user@example.com"",""email_sent"":true}}","{""success"":false,""message"":""Invalid phone number. Must be 10 digits starting with 6-9""}","Step 1 of signup. phone must match ^[6-9]\d{9}$. Returns HTTP 409 if email or phone already registered."
Auth,verify-registration.php,POST,None,"Content-Type: application/json","{""email"":""user@example.com"",""otp"":""123456"",""full_name"":""John Doe"",""phone"":""9876543210"",""user_type"":""customer""}","{""success"":true,""message"":""Registration successful"",""data"":{""user"":{""user_id"":5,""full_name"":""John Doe"",""email"":""user@example.com"",""phone"":""9876543210"",""user_type"":""customer"",...},""token"":""a1b2c3...64 hex chars"",""redirect"":""../index.html""}}","{""success"":false,""message"":""Invalid or expired OTP""}","Step 2 of signup — creates the account. SAVE the returned ""token"" and send it as ""Authorization: Bearer <token>"" on every future request. OTP is valid for 10 minutes."
Auth,login.php,POST,None,"Content-Type: application/json","{""email"":""user@example.com""}","{""success"":true,""message"":""OTP sent to your email"",""data"":{""email"":""user@example.com"",""email_sent"":true}}","{""success"":false,""message"":""Account is deactivated. Please contact support""}","Step 1 of login. Works even if the email is not registered yet — an account is auto-created on OTP verify (see next row)."
Auth,verify-login.php,POST,None,"Content-Type: application/json","{""email"":""user@example.com"",""otp"":""123456""}","{""success"":true,""message"":""Login successful"",""data"":{""user"":{...},""token"":""a1b2c3...64 hex chars"",""redirect"":""../index.html""}}","{""success"":false,""message"":""Invalid or expired OTP""}","Step 2 of login. Save the ""token"" exactly as with registration. If this email had no account, one is auto-created as a customer."
Auth,check-auth.php,GET,"Bearer token","Authorization: Bearer <token>",(none),"{""success"":true,""message"":""User is authenticated"",""data"":{""logged_in"":true,""user"":{...}}}","{""success"":false,""message"":""Not authenticated"",""data"":{""logged_in"":false}}  (HTTP 401)","Call on app startup to verify the stored token is still valid before showing logged-in UI."
Auth,logout.php,POST,"Bearer token","Authorization: Bearer <token>",(none),"{""success"":true,""message"":""Logged out successfully""}","(no error case — always succeeds)","Revokes the token server-side. Delete the token from local app storage after calling this regardless of the response."
"Customer (Public)",customer/banners.php,GET,None,(none),(none),"{""success"":true,""data"":[{""banner_id"":1,""title"":""..."",""subtitle"":""..."",""image_url"":""..."",""link_url"":""...""}]}","{""success"":false,""message"":""...""}  (HTTP 500, rare)","Homepage banner carousel."
"Customer (Public)",customer/categories.php,GET,None,(none),"Query (optional): super_category_id=<int>  — restrict to categories under a group (e.g. Men/Women/Kids)","{""success"":true,""data"":[{""category_id"":1,""category_name"":""Sarees"",""parent_category_id"":null,""category_image"":""/uploads/categories/x.jpg""}]}","{""success"":false,""message"":""...""}","Returns only top-level categories that currently have at least one active product."
"Customer (Public)",customer/super-categories.php,GET,None,(none),(none),"{""success"":true,""data"":[{""super_category_id"":1,""super_category_name"":""Men"",""super_category_image"":null}]}","{""success"":false,""message"":""...""}","The ""All / Men / Women / Kids / Cosmetics"" tab row. Feed each super_category_id into categories.php above to filter. Only returns groups that have at least one linked category."
"Customer (Public)",customer/products.php,GET,None,(none),"Query (all optional): shop_id, category_id, max_price, sort (featured|price-low|price-high|newest|popular), search","{""success"":true,""data"":[{""product_id"":1,""product_name"":""..."",""price"":499,""original_price"":699,""discount_percentage"":28,""category_id"":1,""shop_id"":3,""shop_name"":""..."",""primary_image"":""..."",""sizes_stock"":""S:5,M:3""}],""count"":42,""shop_info"":null}","{""success"":false,""message"":""...""}","Max 500 results per call. Only active products from open shops with stock > 0. shop_info is populated only when shop_id was passed."
"Customer (Public)",customer/product-detail.php,GET,None,(none),"Query: id=<int>  (required)","{""success"":true,""data"":{""product_id"":1,""product_name"":""..."",""price"":499,...,""images"":[{""image_url"":""..."",""is_primary"":1}],""sizes"":[{""size_label"":""M"",""stock_quantity"":5,""price_adjustment"":0}],""colors"":[...],""reviews"":[{""rating"":5,""review_text"":""..."",""reviewer_name"":""...""}]}}","{""success"":false,""message"":""Product not found""}  (HTTP 404)","Full product page: images, size/color variants, latest 10 approved reviews."
"Customer (Public)",customer/shops.php,GET,None,(none),"Query (optional): search, limit (default 20, max 100)","{""success"":true,""data"":[{""shop_id"":3,""shop_name"":""..."",""shop_logo"":""..."",""rating_average"":4.5,""min_price"":199,""has_offers"":1}],""count"":8}","{""success"":false,""message"":""...""}","Only shops with shop_status = open."
"Customer (Public)",customer/check-delivery.php,GET,None,(none),"Query: pincode=<6 digits> (required), shop_id=<int> (optional)","{""success"":true,""zone_id"":1,""zone_name"":""Zone 1 - Free Delivery"",""delivery_fee"":0,""area_name"":""Kazhakootam"",""is_free"":true,""same_zone"":true}","{""success"":false,""message"":""Invalid pincode""}","Call when the customer enters/selects their delivery pincode at checkout, before placing the order."
"Customer (Public / Optional Auth)",customer/checkout-config.php,GET,"Optional (Bearer token improves accuracy)","Authorization: Bearer <token>  (optional)",(none),"{""success"":true,""handling_fee"":10,""first_order_free_delivery"":true,""is_first_order"":true}","{""success"":false,""message"":""...""}","Call before showing the checkout screen. is_first_order is only accurate when a valid token is sent; otherwise it defaults to false."
"Customer (Login Required)",customer/my-profile.php,GET,"Bearer token","Authorization: Bearer <token>",(none),"{""success"":true,""data"":{""user_id"":5,""full_name"":""..."",""email"":""..."",""phone"":""..."",""date_of_birth"":null,""gender"":null,""profile_image"":null,""default_address"":{""address_line1"":""..."",""city"":""..."",""pincode"":""...""}}}","{""success"":false,""message"":""Please login""}  (HTTP 401)","GET returns the profile. See next row for updating it."
"Customer (Login Required)",customer/my-profile.php,POST,"Bearer token","Authorization: Bearer <token>; Content-Type: application/json","{""full_name"":""John Doe"",""phone"":""9876543210"",""date_of_birth"":""1995-04-20"",""gender"":""male""}   (all fields optional — send only what changed)","{""success"":true,""message"":""Profile updated successfully""}","{""success"":false,""message"":""Please login""}  (HTTP 401)","Same URL as GET above — method decides the action."
"Customer (Login Required)",customer/my-orders.php,GET,"Bearer token","Authorization: Bearer <token>","Query (optional): order_id=<int> — when given, returns that order's line items instead of the order list","List: {""success"":true,""data"":[{""order_id"":1,""order_number"":""TC2026..."",""total_amount"":599,""order_status"":""pending"",...}],""count"":3}\nItems: {""success"":true,""data"":[{""order_item_id"":1,""product_name"":""..."",""quantity"":2,""item_status"":""delivered"",""has_reviewed"":0}]}","{""success"":false,""message"":""Please login to view orders""}  (HTTP 401)","Use has_reviewed / item_status=delivered on each item to decide whether to show the ""Rate this product"" button."
"Customer (Login Required)",customer/place-order.php,POST,"Bearer token","Authorization: Bearer <token>; Content-Type: application/json","{""shipping"":{""full_name"":""John Doe"",""phone"":""9876543210"",""email"":""optional@x.com"",""address"":""..."",""city"":""..."",""state"":""..."",""pincode"":""695582""},""items"":[{""id"":101,""quantity"":2,""size"":""M"",""color"":""Red""}],""payment_method"":""cod""}","{""success"":true,""order_id"":55,""order_number"":""TC202609150001"",""total"":599.0}","{""success"":false,""message"":""Cart is empty""}  /  ""Missing required field: pincode""  /  ""<Product> only has 2 left in stock.""","size and color per item are optional. Prices are always taken from the database — never send/trust a client-side price. Currently payment_method only supports ""cod""."
"Customer (Login Required)",customer/submit-review.php,POST,"Bearer token","Authorization: Bearer <token>; Content-Type: application/json","{""order_item_id"":123,""rating"":5,""review_text"":""Great product!""}","{""success"":true,""message"":""Thank you for your rating!""}","{""success"":false,""message"":""You can only rate a product after it is delivered""}  (403)  /  ""You have already rated this product""  (409)","rating must be an integer 1–5. Only allowed once the order item's status is ""delivered"". Get order_item_id from my-orders.php?order_id=..."
